epoch,train_G_loss,train_D_loss,val_psnr,val_ssim,val_dice,Val_G_Loss,Val_D_Loss
1,8.598513031198133,0.42141951350194795,23.6973298903752,0.8747936200897442,0.33557342712547567,4.936122517431936,0.20668573917881136
2,6.094680728450898,0.22642030380666256,22.733185521209343,0.8813850035776253,0.3147948153970079,5.5984216505481355,0.1789709295957319
3,5.835942532747023,0.2110088435752738,14.006010618302943,0.8157074372869103,0.234726732878547,16.80426586827924,0.3895008352495009
4,5.728448968741201,0.20121781588081392,25.008256222649898,0.8955548649585376,0.35709692396312026,4.27264198564714,0.12371590661425744
5,5.594042603046663,0.20072091518030052,23.061821092185365,0.8880957298241855,0.33930419934131134,5.520814103464926,0.23354772406239663
6,5.496478411459154,0.19287985244825964,23.315911104529835,0.8888477434244743,0.33233999039991097,5.105603756443147,0.10509586021784813
7,5.359909413322326,0.19298865625094022,25.063321730716222,0.8952597010999207,0.362873655908746,4.10477759376649,0.15901174973095616
8,5.249989238477522,0.19358320338951965,25.386378011964876,0.8972930688344076,0.3645965728718665,4.0233634594948064,0.1639764397855728
9,5.205060015763006,0.1969530190671644,24.799242602808274,0.896263594418784,0.3651512129386857,4.328518498328425,0.08833299625304437
10,5.111900522824256,0.19366401289739915,23.575010953869107,0.8906370372521167,0.34090924325256344,14.869469458057035,0.12169347535217961
11,5.067925513752045,0.18739992284005688,22.979362111708106,0.8897738989816766,0.3515551254124531,5.419988801402431,0.1112665654190125
12,4.944559717370618,0.18865588833127292,25.109719166211526,0.8983892263415302,0.3748048021504314,4.1328193372295745,0.11152320403245188
13,4.836563675634323,0.18860329654548438,23.850357998837712,0.8907030036228026,0.3601029912694305,4.705524379207242,0.2538830140425313
14,4.747949524271872,0.18793684244155884,24.800669666786135,0.895833064439131,0.3697254947297303,4.429867279145025,0.12548290553592867
15,4.669357002742829,0.1880615602337545,24.689247460427616,0.8978173534010984,0.3715536135248027,4.277188604877841,0.11572982466989948
16,4.59300759242427,0.18316643823298714,23.748964827506295,0.8896657540271469,0.3528737861084285,4.8444557420669065,0.12159890429146829
17,4.479866047059336,0.18718257423249945,24.292768241057352,0.892246633869996,0.36132764198651485,4.557981671825532,0.13333817547367466
18,4.4430423196285,0.1852583518672374,24.820953568062812,0.8970182297015492,0.3727254431930428,4.4209087740990425,0.13382882841171756
19,4.358831507544363,0.18594430825643002,24.543607668070358,0.8980015965736527,0.371664013593135,9.665911859081637,0.11766222299587342
20,4.323658515368739,0.1869468919692501,24.499525869482692,0.8980287047482595,0.3726032940801397,4.330900642179674,0.1923717171434433
21,4.264100919808111,0.18532201290250785,24.892354241549736,0.8994197782410298,0.37581656090560045,4.070966601371765,0.16643236048759952
22,4.130854228811879,0.18508557046973897,23.63171316462754,0.8892428313531098,0.3496182232084112,4.9115782053239885,0.09256189040118648
23,4.125174789659439,0.18622670881450176,24.232157881202983,0.8960072767784995,0.36333251690341206,4.477358598862925,0.17752292608061143
24,4.025507951936414,0.18553572556664866,23.136462356567083,0.8946467508661117,0.35644141850230227,5.227345074376752,0.29278339253317925
25,3.9822076001474933,0.18755734360386286,23.79860236686184,0.8970704174530684,0.3706082841313623,4.727868856922273,0.09342860106018282
26,3.9179176284420874,0.1851499798076768,24.832193416578782,0.8973126199418079,0.36570790334996583,4.096368605090726,0.3015128215474467
27,3.924058392163246,0.18575362287341587,24.596691120059504,0.8970772693489217,0.3668214695077142,4.328758232055172,0.18580261233352846
